,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
216,2012-10,bootmetro,https://github.com/aozora/bootmetro,773,2012-05-26 13:41:43,JavaScript,822.0
217,2012-10,syte,https://github.com/rigoneri/syte,770,2012-05-27 03:18:33,JavaScript,2025.0
218,2012-10,scripted,https://github.com/scripted-editor/scripted,747,2012-10-10 16:07:12,JavaScript,776.0
219,2012-10,Makisu,https://github.com/soulwire/Makisu,727,2012-10-18 00:01:35,JavaScript,774.0
220,2012-09,bower,https://github.com/twitter/bower,2937,2012-09-07 00:15:39,JavaScript,1873.0
221,2012-09,bootstrap,https://github.com/twitter/bootstrap,2494,2011-07-29 21:19:00,JavaScript,38097.0
222,2012-09,tomorrow-theme,https://github.com/chriskempson/tomorrow-theme,2347,2011-02-14 15:43:03,VimL,3550.0
223,2012-09,yeoman,https://github.com/yeoman/yeoman,1930,2012-04-13 05:12:21,JavaScript,1381.0
224,2012-09,xiki,https://github.com/trogdoro/xiki,1245,2008-06-05 01:03:11,Ruby,1048.0
225,2012-09,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,1226,2010-01-24 18:03:24,JavaScript,15728.0
226,2012-09,textmate,https://github.com/textmate/textmate,1151,2012-08-08 16:25:52,C++,7164.0
227,2012-09,glances,https://github.com/nicolargo/glances,1126,2011-12-04 08:49:15,Python,859.0
228,2012-09,reveal.js,https://github.com/hakimel/reveal.js,1102,2011-06-07 18:54:22,JavaScript,3771.0
229,2012-09,jquery.avgrund.js,https://github.com/voronianski/jquery.avgrund.js,1054,2012-08-25 18:36:52,JavaScript,775.0
230,2012-08,textmate,https://github.com/textmate/textmate,8862,,,
231,2012-08,bootstrap,https://github.com/twitter/bootstrap,7848,2011-07-29 21:19:00,JavaScript,36642.0
232,2012-08,piecon,https://github.com/lipka/piecon,3184,2012-08-01 21:27:02,JavaScript,1396.0
233,2012-08,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,2920,2010-01-24 18:03:24,JavaScript,15012.0
234,2012-08,normalize.css,https://github.com/necolas/normalize.css,2730,2011-05-04 10:20:25,null,6140.0
235,2012-08,bootstrap-daterangepicker,https://github.com/dangrossman/bootstrap-daterangepicker,2650,2012-08-20 01:53:06,JavaScript,748.0
236,2012-08,BigVideo.js,https://github.com/dfcb/BigVideo.js,2312,2012-08-14 21:10:43,JavaScript,626.0
237,2012-08,d3,https://github.com/mbostock/d3,2164,2010-09-27 17:22:42,JavaScript,8243.0
238,2012-08,infinity,https://github.com/airbnb/infinity,2106,2012-08-08 18:54:33,JavaScript,875.0
239,2012-08,reveal.js,https://github.com/hakimel/reveal.js,2070,2011-06-07 18:54:22,JavaScript,3060.0
240,2012-07,bootstrap,https://github.com/twitter/bootstrap,4730,2011-07-29 21:19:00,JavaScript,34410.0
241,2012-07,mousetrap,https://github.com/ccampbell/mousetrap,3538,2012-07-05 03:13:55,JavaScript,2154.0
242,2012-07,httpie,https://github.com/jkbr/httpie,2480,2012-02-25 12:39:13,Python,2663.0
243,2012-07,brackets,https://github.com/adobe/brackets,2432,2011-12-07 21:14:40,JavaScript,5801.0
244,2012-07,node,https://github.com/joyent/node,1718,2009-05-27 16:29:46,JavaScript,16870.0
245,2012-07,android,https://github.com/github/android,1716,2011-09-08 16:52:50,Java,1005.0
246,2012-07,jquery,https://github.com/jquery/jquery,1714,2009-04-03 15:20:14,JavaScript,15891.0
247,2012-07,meteor,https://github.com/meteor/meteor,1624,2012-01-19 01:58:17,JavaScript,4807.0
248,2012-07,dotfiles,https://github.com/mathiasbynens/dotfiles,1608,2011-09-05 18:07:54,VimL,4029.0
249,2012-07,foundation,https://github.com/zurb/foundation,1606,2011-10-13 23:05:42,PHP,5314.0
250,2012-06,gmaps,https://github.com/HPNeo/gmaps,6256,2011-10-08 03:55:37,JavaScript,2684.0
251,2012-06,bootstrap,https://github.com/twitter/bootstrap,5300,2011-07-29 21:19:00,JavaScript,32241.0
