,month,repository_name,repository_url,new_stars
95,2013-10,PredictionIO,https://github.com/PredictionIO/PredictionIO,2683
96,2013-10,FullScreenMario,https://github.com/Diogenesthecynic/FullScreenMario,2628
97,2013-10,oboe.js,https://github.com/jimhigson/oboe.js,2410
98,2013-10,Snap.svg,https://github.com/adobe-webplatform/Snap.svg,2390
99,2013-10,FastImageCache,https://github.com/path/FastImageCache,2382
100,2013-09,Semantic-UI,https://github.com/jlukic/Semantic-UI,3299
101,2013-09,favicon-cheat-sheet,https://github.com/audreyr/favicon-cheat-sheet,3006
102,2013-09,pace,https://github.com/HubSpot/pace,2292
103,2013-09,rainyday.js,https://github.com/maroslaw/rainyday.js,2238
104,2013-09,vex,https://github.com/HubSpot/vex,2066
105,2013-09,Octodog_Invasion,https://github.com/mandatoryprogrammer/Octodog_Invasion,1837
106,2013-09,cocktails_for_programmers,https://github.com/the-teacher/cocktails_for_programmers,1712
107,2013-09,favico.js,https://github.com/ejci/favico.js,1603
108,2013-09,bootstrap,https://github.com/twbs/bootstrap,1502
109,2013-09,togetherjs,https://github.com/mozilla/togetherjs,1485
110,2013-08,nprogress,https://github.com/rstacruz/nprogress,3816
111,2013-08,bootstrap,https://github.com/twbs/bootstrap,3102
112,2013-08,ungit,https://github.com/FredrikNoren/ungit,2964
113,2013-08,skeuocard,https://github.com/kenkeiter/skeuocard,2272
114,2013-08,parallax,https://github.com/wagerfield/parallax,2212
115,2013-08,gumbo-parser,https://github.com/google/gumbo-parser,2127
116,2013-08,Medium.js,https://github.com/jakiestfu/Medium.js,1847
117,2013-08,Mailpile,https://github.com/pagekite/Mailpile,1806
118,2013-08,FlowType.JS,https://github.com/simplefocus/FlowType.JS,1685
119,2013-08,maximum-awesome,https://github.com/square/maximum-awesome,1513
120,2013-07,Effeckt.css,https://github.com/h5bp/Effeckt.css,4740
121,2013-07,bootstrap,https://github.com/twitter/bootstrap,2637
122,2013-07,quine-relay,https://github.com/mame/quine-relay,2240
123,2013-07,daux.io,https://github.com/justinwalsh/daux.io,2000
124,2013-07,Projects,https://github.com/thekarangoel/Projects,1921
125,2013-07,finalterm,https://github.com/p-e-w/finalterm,1814
126,2013-07,ProjectTox-Core,https://github.com/irungentoo/ProjectTox-Core,1785
127,2013-07,groupcache,https://github.com/golang/groupcache,1630
128,2013-07,VerbalExpressions,https://github.com/jehna/VerbalExpressions,1550
129,2013-07,ideas,https://github.com/samsquire/ideas,1499
130,2013-06,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,4136
131,2013-06,Ladda,https://github.com/hakimel/Ladda,3151
132,2013-06,AngularJS-Learning,https://github.com/jmcunningham/AngularJS-Learning,2554
133,2013-06,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2094
134,2013-06,code-problems,https://github.com/blakeembrey/code-problems,2041
135,2013-06,pure,https://github.com/yui/pure,1992
136,2013-06,bootstrap,https://github.com/twitter/bootstrap,1620
137,2013-06,Seriously.js,https://github.com/brianchirls/Seriously.js,1413
138,2013-06,skrollr,https://github.com/Prinzhorn/skrollr,1410
139,2013-06,dokku,https://github.com/progrium/dokku,1170
140,2013-05,Magnific-Popup,https://github.com/dimsemenov/Magnific-Popup,2035
141,2013-05,pure,https://github.com/yui/pure,1947
142,2013-05,bootstrap,https://github.com/twitter/bootstrap,1823
143,2013-05,FlatUIKit,https://github.com/Grouper/FlatUIKit,1740
144,2013-05,two.js,https://github.com/jonobr1/two.js,1722
